Name,Position,Major,Height,Weight,Year,Hometown,Season,Rush Attempts,Rush Yards,Rush Touchdowns,Rush Longest,Rush Rush attempt yards pct,Rush Yards per game avg,Receiving Recep,Receiving Yards,Receiving Touchdowns,Receiving Longest,Receiving Per game,Receiving Yards comp pct,Receiving Yards game pct,Defense Solo,Defense Assist,Defense Total,Defense Tfl yards,Defense Sacks yards,Defense Interceptions,Defense Pass defl,Defense Forced fumble,Defense Fumb rec,Defense Blocked,Games Played,Games Started,Year_Scraped,Height_inches
Will  Haigler,WR,,"6'1""",210,Jr.,"Tallahassee, Fla.",2021,1.0,1.0,0.0,1.0,1.0,0.1,11.0,158.0,0.0,32.0,0.8,14.4,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,2021,73
Donte Justice,DB,,"5'11""",180,So.,"Gordon, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2021,71
Adeolu Adeleke,RB,,"5'10""",185,Sr.,"Conyers, Ga.",2021,53.0,377.0,2.0,61.0,7.1,31.4,14.0,223.0,2.0,42.0,1.2,15.9,18.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,2021,70
Java'n Singletary,DB,,"6'0""",195,Jr.,"Bonaire, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,34.0,0.5,0.0,1.0,3.0,1.0,0.0,0.0,9.0,8.0,2021,72
Iaan Cousin,RB,,"6'0""",165,So.,"Carrollton, Ga.",2021,47.0,479.0,4.0,54.0,10.2,36.8,14.0,337.0,2.0,55.0,1.1,24.1,25.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2021,72
Kyle Glover,RB,,"5'11""",215,Gr.,"Eastman, Ga.",2021,134.0,655.0,1.0,48.0,4.9,50.4,4.0,70.0,1.0,25.0,0.3,17.5,5.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,2021,71
Xavier Shepherd,QB,,"6'0""",205,So.,"Nashville, Tenn.",2021,240.0,867.0,23.0,56.0,3.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,2021,72
Sharmari Reed,DB,,"6'0""",190,So.,"Fayetteville, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,72
Jonathan Murphy,QB,,"6'0""",195,Jr.,"Los Angeles, Calif.",2021,64.0,359.0,4.0,36.0,5.6,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2021,72
Welton Spottsville,DB,,"6'0""",220,Jr.,"Havelock, N.C.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,29.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,3.0,2021,72
DeAngelo Hardy,QB,,"5'10""",175,So.,"Chattanooga, Tenn.",2021,12.0,26.0,0.0,8.0,2.2,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2021,70
Je'Cory  Burks,DB,,"6'0""",195,Jr.,"Perry, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,12.0,2021,72
Isaac Foster,RB,,"5'10""",170,Sr.,"Summerville, Ga.",2021,8.0,51.0,0.0,14.0,6.4,17.0,1.0,12.0,0.0,12.0,0.3,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2021,70
Xavier Hill,WR,,"6'2""",200,So.,"Pleasant Grove, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,9.0,152.0,4.0,56.0,1.0,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2021,74
Ryan Harris,DB,,"5'10""",180,So.,"Irmo, S.C.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2021,70
Nykeem Farrow,RB,,"5'9""",170,So.,"Cochran, Ga.",2021,41.0,323.0,2.0,44.0,7.9,24.8,6.0,100.0,1.0,52.0,0.5,16.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,2021,69
Chavis Marshall,WR,,"6'3""",190,Jr.,"Sylvester, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,22.0,0.1,22.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2021,75
Arendez Fedd,QB,,"6'1""",215,Fr.,"Locust Grove, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,73
Oscar Gonzalez,WR,,"6'4""",235,Jr.,"Dalton, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2021,76
Ladarius Clardy,QB,,"6'0""",170,So.,"Pensacola, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,72
Erwin Byrd,DB,,"5'10""",180,So.,"Powder Springs, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,29.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,12.0,9.0,2021,70
Elijah Kirby,DB,,"6'1""",205,So.,"Sandy Springs, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2021,73
Markeith  Montgomery,DB,,"5'10""",195,Jr.,"Flintstone, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,33.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,12.0,5.0,2021,70
Kemari McGowan,RB,,"5'10""",175,So.,"Murfreesboro, Tenn.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,70
Deontre Morris,DB,,"5'11""",175,Fr.,"Atlanta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2021,71
Jeremiah Compton,DB,,"6'1""",190,Jr.,"Waverly, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,73
Gabriel Benyard,RB,,"5'10""",180,Fr.,"Ocilla, Ga.",2021,14.0,90.0,1.0,49.0,6.4,6.9,5.0,73.0,2.0,30.0,0.4,14.6,5.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,2021,70
Cade Loden,DB,,"6'0""",175,So.,"St. Mary's, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,72
Jack Plummer,RB,,"5'7""",185,Sr.,"Buford, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2021,67
Tykeem Wallace,RB,,"5'9""",170,Fr.,"Thomasville, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,69
Preston Daniels,RB,,"5'11""",250,So.,"Sandersville, Ga.",2021,72.0,301.0,0.0,26.0,4.2,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2021,71
Chance Gamble,DB,,"6'2""",165,Fr.,"Fitzgerald, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,2021,74
Montrel Jenkins,LB,,"6'0""",200,Fr.,"Acworth, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2021,72
Cole Loden,DB,,"5'11""",185,Sr.,"St. Mary's, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,44.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,13.0,9.0,2021,71
Caleb Brown,DB,,"6'2""",150,So.,"Douglasville, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2021,74
Marquis Ledet,RB,,"6'0""",190,So.,"Marietta, Ga.",2021,1.0,11.0,0.0,11.0,11.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2021,72
Cade Radam,RB,,"6'0""",205,So.,"Canton, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2021,72
Quandarius Smith,RB,,"5'11""",205,Fr.,"Gainesville, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,71
Zaire Scotland,RB,,"6'1""",220,Fr.,"Seneca, S.C.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2021,73
Irving Smith,RB,,"5'8""",200,Sr.,"Dallas, Ga.",2021,9.0,58.0,0.0,40.0,6.4,6.4,4.0,88.0,0.0,34.0,0.4,22.0,9.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2021,68
Dylan Hand,DB,,"6'0""",195,Fr.,"Dacula, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,2021,72
William Jenkins,LB,,"6'0""",200,So.,"Decatur, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2021,72
Gavin Marts,RB,,"6'0""",230,So.,"Jacksonville, Fla.",2021,20.0,79.0,0.0,8.0,4.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2021,72
Garland Benyard,LB,,"6'1""",190,Fr.,"Ocilla, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,35.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,13.0,6.0,2021,73
Jerrod Woods,LB,,"6'1""",205,Fr.,"Leesburg, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,73
Charles Remy,LB,,"6'1""",210,Fr.,"Kennesaw, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,73
Jalen Barnum,LB,,"6'1""",210,So.,"Jesup, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2021,73
Xavier Reddick,LB,,"6'1""",230,Gr.,"Powder Springs, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,36.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,3.0,2021,73
Zane McCracken,LS,,"6'2""",200,So.,"Calhoun, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,74
Yesiah Clemons,RB,,"5'10""",200,So.,"Griffin, Ga.",2021,1.0,-2.0,0.0,0.0,-2.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,70
Evan Thompson,LB,,"6'0""",210,Jr.,"Clermont, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,56.0,118.0,12.0,2.0,0.0,4.0,0.0,1.0,0.0,13.0,10.0,2021,72
Terrell Paxton,OL,,"6'0""",310,Jr.,"Stone Mountain, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,2021,72
Kelcy  Allen,DL,,"6'1""",240,Jr.,"Smith Station, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,2021,73
Demetric Barnes,DL,,"6'4""",295,So.,"Stone Mountain, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,76
Tyler Scott,DL,,"6'1""",300,So.,"Jackson, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,2021,73
Jake Lassiter,OL,,"6'1""",240,Gr.,"Coral Springs, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2021,73
Cameron Donald,DL,,"6'1""",250,So.,"Pelzer, S.C.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2021,73
Jordan Love,OL,,"6'2""",290,Fr.,"Rockledge, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2021,74
Jahon Myers,DL,,"6'3""",250,So.,"Luella, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,2021,75
Jadyn Walker,LB,,"6'0""",210,Fr.,"Acworth, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2021,72
Tyler Moore,DL,,"6'1""",250,Sr.,"Phenix City, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,23.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,13.0,5.0,2021,73
Steven Carter,LB,,"6'1""",220,Fr.,"Newnan, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,73
Devin Floyd,OL,,"6'1""",270,So.,"Rome, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2021,73
Darron Willis,OL,,"6'2""",240,So.,"Alpharetta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,74
Tristan Love,OL,,"6'2""",300,Jr.,"Rockledge, Fla.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2021,74
Zion Katina,OL,,"6'2""",285,Jr.,"Franklin, Tenn.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2021,74
Jacob Potter,LS,,"6'0""",235,Sr.,"Adairsville, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2021,72
Chance Bates,LB,,"6'0""",240,Sr.,"Muscle Shoals, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,48.0,0.5,0.0,1.0,2.0,0.0,0.0,0.0,13.0,11.0,2021,72
Colton Steele,OL,,"6'3""",295,Fr.,"Jefferson, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,75
Matt Olson,OL,,"6'3""",295,Sr.,"Cumming, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2021,75
Trenton Jackson,OL,,"6'0""",310,So.,"Hattiesburg, Miss.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2021,72
