name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"jones, milon",2023,finance,71,185,"marietta, ga.",db,8,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,5.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"jones, milon",2024,finance,71,190,"marietta, ga.",db,4,1,6,14,20,1.0,0.0,0,1,1,0,0,0.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jones, randy",2018,,66,176,"elberton, ga.",rb,5,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jones, tanner",2018,,70,174,"kennesaw, ga.",db,11,0,8,2,10,2.0,0.0,0,0,0,0,0,1.0,0.0,,,,,,,,,,,,,,
"jones, tanner",2019,,70,174,"kennesaw, ga.",wr,12,0,4,0,4,0.0,0.0,0,0,0,0,1,0.0,0.0,11.0,0.0,8.0,2.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jr., jerico washington",2023,exercise science,70,165,"atlanta, ga.",db,4,4,11,4,15,0.0,0.0,3,5,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jr., jerico washington",2024,exercise science,70,175,"atlanta, ga.",db,4,4,12,6,18,0.0,0.0,0,1,1,1,0,0.0,0.0,4.0,4.0,11.0,4.0,15.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0
"justice, donte",2021,,71,180,"gordon, ga.",db,9,1,6,3,9,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"katina, zion",2018,,74,282,"franklin, tenn.",ol,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"katina, zion",2019,,74,282,"franklin, tenn.",ol,13,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"katina, zion",2021,,74,285,"franklin, tenn.",ol,10,10,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"katina, zion",2022,,74,285,"franklin, tenn.",ol,9,8,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kent, carson",2022,,76,230,"milton, ga.",te,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"kent, carson",2023,businesss management,76,240,"milton, ga.",te,8,5,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kent, carson",2024,management,76,240,"milton, ga.",te,3,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kimble, jaiden",2024,undeclared,72,195,"columbia, s.c.",lb,4,0,1,4,5,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"kirby, elijah",2021,,73,205,"sandy springs, ga.",db,8,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"kirby, elijah",2022,,73,210,"sandy springs, ga.",db,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"larry, le'vonte",2018,,69,181,"jesup, ga.",db,13,11,34,9,43,15.0,0.0,0,5,1,0,0,4.5,0.0,,,,,,,,,,,,,,
"larry, le'vonte",2019,,69,181,"jesup, ga.",db,14,10,28,21,49,4.0,3.0,1,7,1,0,0,1.0,0.5,13.0,11.0,34.0,9.0,43.0,4.5,15.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
"lay, jordan",2022,,71,205,"hartwell, ga.",rb,10,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"ledet, marquis",2021,,72,190,"marietta, ga.",rb,8,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"ledet, marquis",2022,,72,205,"marietta, ga.",rb,8,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"leiataua, eli",2022,,71,215,"hinesville, ga.",rb,10,0,3,1,4,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"leiataua, eli",2023,mechanical engineering,71,220,"hinesville, ga.",te,8,0,4,4,8,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"leiataua, eli",2024,interdisciplinary studies,71,215,"hinesville, ga.",lb,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"loden, cade",2019,,72,170,"st. mary's, ga.",db,2,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"loden, cade",2021,,72,175,"st. mary's, ga.",db,11,0,3,1,4,0.0,0.0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"loden, cade",2022,,72,180,"st. mary's, ga.",wr,10,0,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"loden, cole",2018,,71,176,"st. mary's, ga.",db,13,2,13,8,21,0.0,0.0,0,2,0,0,1,0.0,0.0,,,,,,,,,,,,,,
"loden, cole",2019,,71,176,"st. mary's, ga.",db,14,3,20,5,25,3.0,0.0,1,1,0,0,0,1.0,0.0,13.0,2.0,13.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
"loden, cole",2021,,71,185,"st. mary's, ga.",db,13,9,28,16,44,0.0,0.0,1,5,0,0,0,0.0,0.0,14.0,3.0,20.0,5.0,25.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"louis, camari",2019,,70,180,"moultrie, ga.",db,3,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"marcus, justin",2017,,75,238,"macon, ga.",dl,14,2,8,8,16,32.0,30.0,0,0,0,1,0,5.5,4.0,,,,,,,,,,,,,,
"marshall, chavis",2019,,75,179,"sylvester, ga.",wr,10,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"marshall, chavis",2021,,75,190,"sylvester, ga.",wr,12,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"marshall, chavis",2022,,75,195,"sylvester, ga.",wr,11,10,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"marts, gavin",2021,,72,230,"jacksonville, fla.",rb,8,0,1,2,3,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"mason, cincere",2018,,72,212,"atlanta, ga.",db,12,10,15,9,24,11.0,0.0,4,7,0,1,0,2.5,0.0,,,,,,,,,,,,,,
"mason, cincere",2019,,72,212,"atlanta, ga.",db,14,13,27,15,42,3.0,0.0,1,4,1,1,0,2.5,0.0,12.0,10.0,15.0,9.0,24.0,2.5,11.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0
"mccracken, drew",2017,,73,187,"calhoun, ga.",ls,14,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"mccracken, drew",2018,,73,195,"calhoun, ga.",ls,13,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"mccracken, zane",2021,,74,200,"calhoun, ga.",ls,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"mccracken, zane",2022,,74,200,"calhoun, ga.",ls,11,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"miles, jordan",2023,interdisciplinary studies,74,245,"indianapolis, ind.",dl,8,8,12,10,22,11.0,7.0,0,1,0,0,0,3.0,1.0,,,,,,,,,,,,,,
"miles, jordan",2024,interdisciplinary studies,74,245,"indianapolis, ind.",dl,4,4,3,13,16,12.0,10.0,0,0,0,0,0,3.5,1.0,8.0,8.0,12.0,10.0,22.0,3.0,11.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0
"miller, aj",2023,finance,75,275,"rock hill, s.c.",dl,1,0,0,1,1,0.0,0.0,0,0,0,0,0,0.5,0.0,,,,,,,,,,,,,,
"miller, barclay",2017,,72,240,"denham springs, la.",dl,3,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"mills, courtney",2018,,73,240,"powder springs, ga.",lb,7,0,8,1,9,4.0,1.0,0,0,0,0,0,1.5,0.5,,,,,,,,,,,,,,
"mills, courtney",2019,,73,240,"powder springs, ga.",lb,12,0,5,7,12,8.0,8.0,0,0,0,0,0,2.0,1.0,7.0,0.0,8.0,1.0,9.0,1.5,4.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
"mincey, mike",2022,,73,230,"waycross, ga.",lb,7,2,9,7,16,6.0,0.0,0,0,0,0,0,3.5,0.0,,,,,,,,,,,,,,
"mitchell, tyrik",2018,,69,172,"jackson, ga.",db,7,0,2,1,3,0.0,0.0,1,1,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"montgomery, brenden",2018,,74,285,"hoschton, ga.",dl,2,0,2,0,2,1.0,0.0,0,0,0,0,0,1.0,0.0,,,,,,,,,,,,,,
"montgomery, markeith",2018,,69,172,"flintstone, ga.",db,4,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"montgomery, markeith",2019,,69,172,"flintstone, ga.",db,12,3,21,4,25,6.0,0.0,3,7,0,1,0,1.5,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"montgomery, markeith",2021,,70,195,"flintstone, ga.",db,12,5,19,14,33,1.0,0.0,2,4,0,1,0,1.0,0.0,12.0,3.0,21.0,4.0,25.0,1.5,6.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0
"montgomery, markeith",2022,,70,185,"flintstone, ga.",db,11,10,37,23,60,16.0,0.0,5,12,2,0,0,6.0,0.0,12.0,5.0,19.0,14.0,33.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0
"montgomery, markeith",2023,sport management,70,190,"flintstone, ga.",db,8,8,29,14,43,32.0,0.0,2,2,0,0,0,9.5,0.0,11.0,10.0,37.0,23.0,60.0,6.0,16.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0
"moore, peyton",2017,,74,239,"hoschton, ga.",dl,12,0,8,1,9,14.0,11.0,0,1,1,0,0,3.0,2.0,,,,,,,,,,,,,,
"moore, peyton",2018,,74,237,"hoschton, ga.",dl,13,0,9,2,11,12.0,9.0,0,0,1,1,0,4.0,2.0,12.0,0.0,8.0,1.0,9.0,3.0,14.0,2.0,11.0,0.0,1.0,1.0,0.0,0.0
"moore, peyton",2019,,74,237,"hoschton, ga.",dl,12,7,16,8,24,26.0,21.0,0,1,2,0,0,6.0,3.0,13.0,0.0,9.0,2.0,11.0,4.0,12.0,2.0,9.0,0.0,0.0,1.0,1.0,0.0
"moore, tyler",2018,,73,259,"phenix city, ala.",dl,10,0,10,4,14,9.0,4.0,0,0,0,0,0,3.0,1.5,,,,,,,,,,,,,,
"moore, tyler",2019,,73,259,"phenix city, ala.",dl,12,5,7,12,19,5.0,0.0,0,0,0,2,0,1.5,0.0,10.0,0.0,10.0,4.0,14.0,3.0,9.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0
"moore, tyler",2021,,73,250,"phenix city, ala.",dl,13,5,11,12,23,2.0,0.0,0,0,3,1,0,1.0,1.0,12.0,5.0,7.0,12.0,19.0,1.5,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"morris, deontre",2021,,71,175,"atlanta, ga.",db,2,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"morris, deontre",2022,,71,185,"atlanta, ga.",db,10,9,32,18,50,0.0,0.0,5,11,1,1,0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"murphy, jonathan",2019,,72,190,"los angeles, calif.",qb,4,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"murphy, jonathan",2021,,72,195,"los angeles, calif.",qb,7,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"murphy, jonathan",2022,,72,190,"los angeles, calif.",qb,6,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"murphy, jonathan",2023,interdisciplinary studies,72,190,"los angeles, calif.",qb,8,8,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"myers, jahon",2021,,75,250,"luella, ga.",dl,13,1,6,6,12,23.0,11.0,0,1,0,0,0,2.5,1.0,,,,,,,,,,,,,,
"myers, jahon",2022,,75,255,"luella, ga.",dl,11,10,13,16,29,32.0,22.0,0,0,1,0,0,7.0,3.0,13.0,1.0,6.0,6.0,12.0,2.5,23.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0
"myers, jahon",2024,business administration (mba)/financial technology,75,260,"luella, ga.",dl,3,0,0,4,4,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"nelson, clayton",2019,,72,188,"buford, ga.",db,4,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"nelson, clayton",2021,,72,185,"buford, ga.",wr,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nelson, clayton",2022,,72,190,"buford, ga.",wr,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ness, jack",2018,,72,203,"buford, ga.",lb,10,0,3,2,5,4.0,0.0,0,0,0,0,0,2.0,0.0,,,,,,,,,,,,,,
"ness, jack",2019,,72,203,"buford, ga.",lb,8,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,3.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nwadike, chiaza",2017,,75,286,"riverdale, ga.",ol,7,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"nwadike, chiaza",2018,,75,290,"riverdale, ga.",ol,13,11,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nwoha, ugonna",2022,,75,265,"austell, ga.",dl,2,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"nwoha, ugonna",2023,cyber security,75,255,"austell, ga.",dl,4,1,2,1,3,7.0,7.0,0,0,0,0,0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nwoha, ugonna",2024,cyber security,75,260,"austell, ga.",dl,4,0,0,3,3,1.0,0.0,0,1,0,0,0,0.5,0.0,4.0,1.0,2.0,1.0,3.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0
"o'neal, caleb",2018,,74,190,"chickamauga, ga.",wr,10,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"o'neal, caleb",2019,,74,190,"chickamauga, ga.",wr,12,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"o'neal, caleb",2021,,74,200,"chickamauga, ga.",wr,13,12,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"outlaw, sam",2017,,73,213,"cumming, ga.",rb,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"outlaw, sam",2018,,73,221,"cumming, ga.",rb,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"outlaw, sam",2019,,73,221,"cumming, ga.",rb,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"parker, joel",2019,,72,240,"birmingham, ala.",dl,13,2,10,7,17,61.0,32.0,0,0,0,1,0,8.5,4.0,,,,,,,,,,,,,,
"parker, joel",2021,,72,250,"birmingham, ala.",dl,8,7,8,4,12,30.0,30.0,0,0,1,0,0,4.0,4.0,13.0,2.0,10.0,7.0,17.0,8.5,61.0,4.0,32.0,0.0,0.0,0.0,1.0,0.0
"parker, joel",2022,,72,250,"birmingham, ala.",dl,10,8,8,15,23,5.0,0.0,0,1,0,0,0,3.5,0.0,8.0,7.0,8.0,4.0,12.0,4.0,30.0,4.0,30.0,0.0,0.0,1.0,0.0,0.0
"patrick, charlie",2018,,72,215,"atlanta, ga.",lb,12,8,40,15,55,25.0,6.0,0,2,1,0,0,10.5,1.0,,,,,,,,,,,,,,
"patrick, charlie",2019,,72,215,"atlanta, ga.",lb,11,7,19,18,37,16.0,10.0,1,3,0,0,0,5.5,3.0,12.0,8.0,40.0,15.0,55.0,10.5,25.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0
"paul, isaac",2023,sport management,71,160,"panama city, fla.",db,4,2,4,5,9,0.0,0.0,0,1,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"paul, isaac",2024,sport management,71,170,"panama city, fla.",db,4,3,8,14,22,1.0,0.0,0,0,0,1,0,0.5,0.0,4.0,2.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"paxton, terrell",2018,,72,304,"stone mountain, ga.",ol,3,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"paxton, terrell",2019,,72,304,"stone mountain, ga.",ol,13,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"paxton, terrell",2021,,72,310,"stone mountain, ga.",ol,11,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
