name,season,temperature,temp_was_missing,is_home_game,date,opponent,wind,duration,kickoff_time,attendance,total_points_scored,average_points_scored,total_first_downs,passing_first_downs,team_qb_passing_completions,team_qb_passing_attempts,team_qb_passing_interceptions,team_qb_passing_avg_per_attempt,team_qb_passing_avg_per_completion,team_qb_passing_touchdowns,team_total_offense_yards,team_total_offense_plays,receiving_offensive_rec,receiving_offensive_yds,receiving_offensive_td,receiving_offensive_long,is_windy,is_foggy,cloud_cover,weather_cloudy,weather_other,weather_overcast,weather_rainy,weather_snowy,weather_sunny,game_number
"Adeleke,  Adeolu",2018,71.0,1,1,2018-10-06,Presbyterian,0,171,845,6414,190,38.0,34,6,7,10,0,15.2,21.7,2,637,75,1.0,1.0,0.0,1.0,0,0,0.0,0,1,0,0,0,0,1
"Adeleke,  Adeolu",2019,60.0,0,1,2019-11-02,Monmouth,0,196,845,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,1.0,13.0,0.0,13.0,0,0,0.0,0,0,0,0,0,1,1
"Adeleke,  Adeolu",2021,53.0,0,0,2021-11-06,RMU,4,195,720,2144,80,40.0,24,16,26,37,1,8.0,11.4,2,396,64,1.0,42.0,1.0,42.0,0,0,0.0,0,0,0,0,0,1,1
"Adeleke, Adeolu",2021,78.0,0,1,2021-09-02,Reinhardt,5,207,1205,6348,66,33.0,24,4,4,9,1,8.0,18.0,0,404,76,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,1
"Adeleke, Adeolu",2021,79.0,0,0,2021-09-11,Georgia Tech,0,192,731,35195,17,17.0,20,12,17,23,0,11.0,14.9,4,412,59,1.0,39.0,1.0,39.0,0,0,0.0,0,0,0,0,0,1,1
"Adeleke, Adeolu",2021,84.0,0,0,2021-09-18,Wofford,1,199,1084,4597,96,24.0,12,8,15,28,1,5.6,10.4,0,223,53,1.0,11.0,0.0,11.0,0,0,3.0,1,0,0,0,0,0,1
"Adeleke, Adeolu",2021,81.0,0,1,2021-10-02,Jacksonville St,6,175,905,7476,136,34.0,22,5,5,6,0,12.0,14.4,0,343,68,1.0,18.0,0.0,18.0,0,0,3.0,1,0,0,0,0,0,1
"Adeleke, Adeolu",2021,60.0,0,1,2021-10-16,N.C. A T,13,187,1025,9556,14,14.0,21,6,6,13,1,9.9,21.5,0,351,72,2.0,31.0,0.0,19.0,0,0,0.0,0,0,0,0,0,1,1
"Adeleke, Adeolu",2021,48.0,0,0,2021-11-13,North Ala,7,184,844,7023,109,36.33,20,9,21,34,2,7.3,11.9,3,330,65,2.0,29.0,0.0,25.0,0,0,0.0,0,0,0,0,0,1,1
"Adeleke, Adeolu",2021,56.0,0,1,2021-11-20, 24 Monmouth,16,198,785,4630,262,37.43,26,3,4,6,0,16.7,25.0,1,571,73,1.0,22.0,0.0,22.0,0,0,0.0,0,0,0,0,0,1,1
"Adeleke, Adeolu",2021,56.0,0,1,2021-11-27,Davidson,6,176,842,2764,48,48.0,21,4,5,8,0,14.0,22.4,1,417,64,2.0,5.0,0.0,8.0,0,0,0.0,0,0,0,0,0,1,1
"Ashley, Qua",2024,71.0,1,0,2024-08-31,UTSA,0,224,872,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,1.0,51.0,0.0,51.0,0,0,0.0,0,0,0,0,0,1,1
"Ashley, Qua",2024,78.0,0,1,2024-09-07,Louisiana,11,182,1144,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,2.0,17.0,0.0,13.0,0,0,0.0,0,0,0,0,0,1,1
"Ashley, Qua",2024,79.0,0,0,2024-09-14,San Jose St,0,196,965,11090,10,10.0,18,13,26,39,0,9.1,13.7,4,417,64,4.0,51.0,0.0,34.0,0,0,0.0,0,0,0,0,0,1,1
"Ashley, Qua",2024,72.0,0,1,2024-09-28,UT Martin,8,189,1082,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,3.0,12.0,0.0,9.0,0,0,3.0,1,0,0,0,0,0,1
"Benefield, Michael",2022,74.0,0,0,2022-10-01,Jacksonville St,10,201,782,19654,136,34.0,14,8,12,23,1,9.7,18.7,2,336,57,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,1
"Benefield, Michael",2022,67.0,0,1,2022-10-15,Central Ark,5,202,782,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,1.0,20.0,0.0,20.0,0,0,0.0,0,0,0,0,0,1,1
"Benefield, Michael",2022,70.0,0,1,2022-10-22,Tennessee Tech,5,216,902,7906,116,29.0,29,10,15,24,0,9.3,14.9,1,493,81,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,1
"Benefield, Michael",2022,63.0,0,1,2022-11-12,Austin Peay,11,230,782,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,1.0,12.0,0.0,12.0,0,0,3.0,1,0,0,0,0,0,1
"Benefield, Michael",2023,82.0,0,1,2023-08-31,Tusculum,6,198,1142,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,1.0,3.0,0.0,3.0,0,0,0.0,0,0,0,0,0,1,1
"Benefield, Michael",2023,63.0,0,1,2023-10-07,Tennessee St,13,226,902,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,2.0,21.0,0.0,15.0,0,0,0.0,0,0,0,0,0,1,1
"Benefield, Michael",2023,81.0,0,1,2023-10-28,Lincoln  CA ,3,209,903,6013,28,28.0,16,0,0,6,0,0.0,0.0,0,241,54,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,2
"Benefield, Michael",2023,73.0,0,0,2023-11-04,Sam Houston,9,189,722,7143,48,24.0,27,11,30,38,1,6.4,8.1,3,347,81,1.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,2
"Benefield, Michael",2024,79.0,0,0,2024-09-14,San Jose St,0,196,965,11090,10,10.0,18,13,26,39,0,9.1,13.7,4,417,64,2.0,6.0,0.0,9.0,0,0,0.0,0,0,0,0,0,1,2
"Benefield, Michael",2024,72.0,0,1,2024-09-28,UT Martin,8,189,1082,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,0.0,0.0,0.0,0.0,0,0,3.0,1,0,0,0,0,0,2
"Benyard,  Gabriel",2022,89.0,0,0,2022-09-01,Samford,0,184,360,5333,92,23.0,21,11,18,24,0,12.0,16.1,4,402,56,1.0,15.0,0.0,15.0,0,0,1.0,1,0,0,0,0,0,2
"Benyard, Gabriel",2021,0.0,0,0,2021-10-23,Campbell,0,166,965,5977,117,39.0,12,5,13,23,2,4.5,8.0,0,188,46,2.0,12.0,1.0,8.0,0,0,0.0,0,0,0,0,0,1,2
"Benyard, Gabriel",2021,56.0,0,1,2021-10-30,Gardner-Webb,10,217,785,4041,208,34.67,19,7,12,14,0,14.9,17.4,4,417,60,3.0,61.0,1.0,30.0,0,0,3.0,1,0,0,0,0,0,1
"Benyard, Gabriel",2022,74.0,0,0,2022-10-01,Jacksonville St,10,201,782,19654,136,34.0,14,8,12,23,1,9.7,18.7,2,336,57,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,2
"Benyard, Gabriel",2022,70.0,0,1,2022-10-08,North Ala,10,222,1082,4505,109,36.33,27,10,13,18,0,9.6,13.2,2,449,87,2.0,17.0,0.0,10.0,0,0,0.0,0,0,0,0,0,1,2
"Benyard, Gabriel",2022,67.0,0,1,2022-10-15,Central Ark,5,202,782,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,1.0,10.0,0.0,10.0,0,0,0.0,0,0,0,0,0,1,2
"Benyard, Gabriel",2022,70.0,0,1,2022-10-22,Tennessee Tech,5,216,902,7906,116,29.0,29,10,15,24,0,9.3,14.9,1,493,81,4.0,64.0,0.0,34.0,0,0,0.0,0,0,0,0,0,1,2
"Benyard, Gabriel",2022,59.0,0,1,2022-10-29,Charleston So,10,195,783,3845,206,25.75,17,7,11,25,1,6.3,14.4,1,325,76,2.0,61.0,1.0,37.0,0,0,3.0,1,0,0,0,0,0,1
"Benyard, Gabriel",2022,63.0,0,1,2022-11-12,Austin Peay,11,230,782,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,1.0,5.0,0.0,5.0,0,0,3.0,1,0,0,0,0,0,2
"Benyard, Gabriel",2022,71.0,1,0,2022-11-19,Eastern Ky,0,197,902,7053,38,38.0,22,16,25,35,0,12.2,17.1,5,564,59,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,2
"Benyard, Gabriel",2023,79.0,0,0,2023-09-09,Chattanooga,6,182,1110,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,3.0,123.0,1.0,53.0,0,0,3.0,1,0,0,0,0,0,2
"Benyard, Gabriel",2023,69.0,0,1,2023-09-16,Furman,7,204,1023,6993,80,40.0,17,10,17,31,1,9.9,18.1,2,490,63,6.0,136.0,2.0,61.0,0,0,3.0,1,0,0,0,0,0,2
"Benyard, Gabriel",2023,63.0,0,1,2023-10-07,Tennessee St,13,226,902,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,2.0,40.0,0.0,21.0,0,0,0.0,0,0,0,0,0,1,2
"Benyard, Gabriel",2024,71.0,1,0,2024-08-31,UTSA,0,224,872,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,4.0,39.0,0.0,22.0,0,0,0.0,0,0,0,0,0,1,3
"Benyard, Gabriel",2024,78.0,0,1,2024-09-07,Louisiana,11,182,1144,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon,  Blake",2022,78.0,0,1,2022-09-24,Wofford,7,184,1083,7830,96,24.0,20,7,11,14,0,7.6,9.7,0,328,63,1.0,19.0,0.0,19.0,0,0,0.0,0,0,0,0,0,1,2
"Bohannon,  Blake",2022,62.0,0,0,2022-11-05,UT Martin,15,214,720,3408,57,28.5,19,14,28,46,5,6.2,10.2,2,373,65,1.0,61.0,1.0,61.0,0,0,3.0,1,0,0,0,0,0,1
"Bohannon, Blake",2022,71.0,1,0,2022-09-10,Cincinnati,0,203,932,39015,10,10.0,24,15,20,23,0,12.7,14.7,3,525,53,1.0,26.0,0.0,26.0,0,0,0.0,0,0,0,0,0,1,1
"Bohannon, Blake",2022,74.0,0,0,2022-10-01,Jacksonville St,10,201,782,19654,136,34.0,14,8,12,23,1,9.7,18.7,2,336,57,1.0,9.0,0.0,9.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2022,70.0,0,1,2022-10-08,North Ala,10,222,1082,4505,109,36.33,27,10,13,18,0,9.6,13.2,2,449,87,1.0,9.0,0.0,9.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2022,67.0,0,1,2022-10-15,Central Ark,5,202,782,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,3.0,50.0,0.0,18.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2022,70.0,0,1,2022-10-22,Tennessee Tech,5,216,902,7906,116,29.0,29,10,15,24,0,9.3,14.9,1,493,81,2.0,13.0,0.0,10.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2022,59.0,0,1,2022-10-29,Charleston So,10,195,783,3845,206,25.75,17,7,11,25,1,6.3,14.4,1,325,76,0.0,0.0,0.0,0.0,0,0,3.0,1,0,0,0,0,0,2
"Bohannon, Blake",2022,63.0,0,1,2022-11-12,Austin Peay,11,230,782,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,1.0,12.0,0.0,12.0,0,0,3.0,1,0,0,0,0,0,3
"Bohannon, Blake",2022,71.0,1,0,2022-11-19,Eastern Ky,0,197,902,7053,38,38.0,22,16,25,35,0,12.2,17.1,5,564,59,1.0,14.0,0.0,14.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2023,82.0,0,1,2023-08-31,Tusculum,6,198,1142,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,1.0,55.0,1.0,55.0,0,0,0.0,0,0,0,0,0,1,2
"Bohannon, Blake",2023,79.0,0,0,2023-09-09,Chattanooga,6,182,1110,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,1.0,11.0,0.0,11.0,0,0,3.0,1,0,0,0,0,0,3
"Bohannon, Blake",2023,69.0,0,1,2023-09-16,Furman,7,204,1023,6993,80,40.0,17,10,17,31,1,9.9,18.1,2,490,63,3.0,66.0,0.0,33.0,0,0,3.0,1,0,0,0,0,0,3
"Bohannon, Blake",2023,81.0,0,0,2023-09-30,Charleston So,9,174,1083,3087,206,25.75,14,8,15,31,0,6.0,12.5,0,265,55,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,2
"Bohannon, Blake",2023,63.0,0,1,2023-10-07,Tennessee St,13,226,902,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,1.0,10.0,0.0,10.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2023,73.0,0,0,2023-11-04,Sam Houston,9,189,722,7143,48,24.0,27,11,30,38,1,6.4,8.1,3,347,81,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2023,71.0,1,1,2023-11-11,Virginia-Lynchburg,0,178,903,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,1.0,10.0,0.0,10.0,0,0,0.0,0,0,0,1,0,0,3
"Bohannon, Blake",2024,71.0,1,0,2024-08-31,UTSA,0,224,872,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,2.0,15.0,0.0,10.0,0,0,0.0,0,0,0,0,0,1,4
"Bohannon, Blake",2024,78.0,0,1,2024-09-07,Louisiana,11,182,1144,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,1.0,7.0,0.0,7.0,0,0,0.0,0,0,0,0,0,1,4
"Bohannon, Blake",2024,79.0,0,0,2024-09-14,San Jose St,0,196,965,11090,10,10.0,18,13,26,39,0,9.1,13.7,4,417,64,3.0,13.0,0.0,6.0,0,0,0.0,0,0,0,0,0,1,3
"Bohannon, Blake",2024,72.0,0,1,2024-09-28,UT Martin,8,189,1082,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,4.0,54.0,0.0,32.0,0,0,3.0,1,0,0,0,0,0,3
"Chivers,  Trey",2017,78.0,0,1,2017-09-30,North Greenville,5,199,937,6161,38,38.0,21,6,7,13,0,10.2,19.0,1,448,67,1.0,26.0,1.0,26.0,0,0,0.0,0,0,0,0,0,1,1
"Chivers,  Trey",2018,88.0,0,1,2018-09-22,Clark-Atlanta,6,183,1085,6009,126,63.0,25,3,6,11,0,4.8,8.8,1,392,70,1.0,5.0,0.0,5.0,0,0,0.0,1,0,0,0,0,0,1
"Chivers,  Trey",2018,83.0,0,1,2018-09-29,Samford,6,161,1085,6304,92,23.0,18,4,5,12,0,5.5,13.2,1,286,67,1.0,10.0,0.0,10.0,0,0,1.0,1,0,0,0,0,0,1
"Chivers,  Trey",2018,71.0,1,0,2018-10-27,Charleston So,0,177,1085,1242,206,25.75,9,3,6,14,0,4.5,10.5,0,186,48,2.0,29.0,0.0,27.0,0,0,0.0,0,1,0,0,0,0,1
"Chivers,  Trey",2018,44.0,0,0,2018-11-10,Monmouth,0,176,725,2332,262,37.43,11,7,12,20,0,4.2,7.0,0,192,53,1.0,25.0,0.0,25.0,0,0,0.0,0,0,0,0,0,1,1
"Clemons, Yesiah",2022,67.0,0,1,2022-10-15,Central Ark,5,202,782,4467,24,24.0,20,11,14,30,1,7.0,15.1,1,392,75,1.0,53.0,1.0,53.0,0,0,0.0,0,0,0,0,0,1,4
"Clemons, Yesiah",2023,82.0,0,1,2023-08-31,Tusculum,6,198,1142,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,1.0,1.0,0.0,1.0,0,0,0.0,0,0,0,0,0,1,3
"Clemons, Yesiah",2023,71.0,1,1,2023-11-11,Virginia-Lynchburg,0,178,903,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,1.0,1.0,0.0,1.0,0,0,0.0,0,0,0,1,0,0,4
"Cousin,  Iaan",2021,53.0,0,0,2021-11-06,RMU,4,195,720,2144,80,40.0,24,16,26,37,1,8.0,11.4,2,396,64,2.0,75.0,0.0,55.0,0,0,0.0,0,0,0,0,0,1,4
"Cousin,  Iaan",2022,78.0,0,1,2022-09-24,Wofford,7,184,1083,7830,96,24.0,20,7,11,14,0,7.6,9.7,0,328,63,6.0,56.0,0.0,28.0,0,0,0.0,0,0,0,0,0,1,3
"Cousin, Iaan",2021,78.0,0,1,2021-09-02,Reinhardt,5,207,1205,6348,66,33.0,24,4,4,9,1,8.0,18.0,0,404,76,1.0,10.0,0.0,10.0,0,0,0.0,0,0,0,0,0,1,3
"Cousin, Iaan",2021,79.0,0,0,2021-09-11,Georgia Tech,0,192,731,35195,17,17.0,20,12,17,23,0,11.0,14.9,4,412,59,1.0,6.0,0.0,6.0,0,0,0.0,0,0,0,0,0,1,2
"Cousin, Iaan",2021,84.0,0,0,2021-09-18,Wofford,1,199,1084,4597,96,24.0,12,8,15,28,1,5.6,10.4,0,223,53,1.0,33.0,1.0,33.0,0,0,3.0,1,0,0,0,0,0,3
"Cousin, Iaan",2021,60.0,0,1,2021-10-16,N.C. A T,13,187,1025,9556,14,14.0,21,6,6,13,1,9.9,21.5,0,351,72,1.0,24.0,0.0,24.0,0,0,0.0,0,0,0,0,0,1,2
"Cousin, Iaan",2021,56.0,0,1,2021-10-30,Gardner-Webb,10,217,785,4041,208,34.67,19,7,12,14,0,14.9,17.4,4,417,60,2.0,28.0,0.0,24.0,0,0,3.0,1,0,0,0,0,0,2
"Cousin, Iaan",2021,56.0,0,1,2021-11-20, 24 Monmouth,16,198,785,4630,262,37.43,26,3,4,6,0,16.7,25.0,1,571,73,1.0,24.0,0.0,24.0,0,0,0.0,0,0,0,0,0,1,3
"Cousin, Iaan",2021,56.0,0,1,2021-11-27,Davidson,6,176,842,2764,48,48.0,21,4,5,8,0,14.0,22.4,1,417,64,1.0,19.0,0.0,19.0,0,0,0.0,0,0,0,0,0,1,4
"Cousin, Iaan",2022,71.0,1,0,2022-09-10,Cincinnati,0,203,932,39015,10,10.0,24,15,20,23,0,12.7,14.7,3,525,53,4.0,71.0,0.0,24.0,0,0,0.0,0,0,0,0,0,1,3
"Cousin, Iaan",2022,70.0,0,1,2022-10-08,North Ala,10,222,1082,4505,109,36.33,27,10,13,18,0,9.6,13.2,2,449,87,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,5
"Cousin, Iaan",2022,59.0,0,1,2022-10-29,Charleston So,10,195,783,3845,206,25.75,17,7,11,25,1,6.3,14.4,1,325,76,1.0,19.0,0.0,19.0,0,0,3.0,1,0,0,0,0,0,3
"Cousin, Iaan",2022,63.0,0,1,2022-11-12,Austin Peay,11,230,782,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,0.0,0.0,0.0,0.0,0,0,3.0,1,0,0,0,0,0,4
"Daniels, Preston",2021,48.0,0,0,2021-11-13,North Ala,7,184,844,7023,109,36.33,20,9,21,34,2,7.3,11.9,3,330,65,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,4
"Daniels, Preston",2022,63.0,0,1,2022-11-12,Austin Peay,11,230,782,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,0.0,0.0,0.0,0.0,0,0,3.0,1,0,0,0,0,0,5
"Daniels, Preston",2022,71.0,1,0,2022-11-19,Eastern Ky,0,197,902,7053,38,38.0,22,16,25,35,0,12.2,17.1,5,564,59,1.0,19.0,1.0,19.0,0,0,0.0,0,0,0,0,0,1,5
"Daniels, Preston",2023,82.0,0,1,2023-08-31,Tusculum,6,198,1142,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,3.0,45.0,0.0,30.0,0,0,0.0,0,0,0,0,0,1,4
"Daniels, Preston",2023,81.0,0,0,2023-09-30,Charleston So,9,174,1083,3087,206,25.75,14,8,15,31,0,6.0,12.5,0,265,55,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,4
"Daniels, Preston",2023,63.0,0,1,2023-10-07,Tennessee St,13,226,902,10436,20,20.0,17,6,12,31,1,4.6,12.0,0,261,71,3.0,15.0,0.0,9.0,0,0,0.0,0,0,0,0,0,1,5
"Daniels, Preston",2023,73.0,0,0,2023-11-04,Sam Houston,9,189,722,7143,48,24.0,27,11,30,38,1,6.4,8.1,3,347,81,1.0,8.0,0.0,8.0,0,0,0.0,0,0,0,0,0,1,4
"Daniels, Preston",2023,71.0,1,1,2023-11-11,Virginia-Lynchburg,0,178,903,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,1.0,19.0,0.0,19.0,0,0,0.0,0,0,0,1,0,0,5
"Darnell, Rowan",2023,82.0,0,1,2023-08-31,Tusculum,6,198,1142,10108,38,38.0,19,7,13,19,0,13.1,19.2,2,446,58,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,5
"Darnell, Rowan",2023,79.0,0,0,2023-09-09,Chattanooga,6,182,1110,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,1.0,4.0,0.0,4.0,0,0,3.0,1,0,0,0,0,0,6
"Darnell, Rowan",2023,81.0,0,0,2023-09-30,Charleston So,9,174,1083,3087,206,25.75,14,8,15,31,0,6.0,12.5,0,265,55,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,5
"Darnell, Rowan",2023,73.0,0,0,2023-11-04,Sam Houston,9,189,722,7143,48,24.0,27,11,30,38,1,6.4,8.1,3,347,81,1.0,3.0,0.0,3.0,0,0,0.0,0,0,0,0,0,1,5
"Darnell, Rowan",2023,71.0,1,1,2023-11-11,Virginia-Lynchburg,0,178,903,5735,63,63.0,33,7,9,12,0,13.0,17.3,2,538,63,4.0,59.0,1.0,31.0,0,0,0.0,0,0,0,1,0,0,6
"Dean, Navelle",2024,71.0,1,0,2024-08-31,UTSA,0,224,872,25911,16,16.0,17,10,28,38,0,8.9,12.1,3,416,72,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,7
"Dean, Navelle",2024,78.0,0,1,2024-09-07,Louisiana,11,182,1144,11040,10,10.0,12,5,7,13,0,7.2,13.3,0,204,50,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,6
"Dean, Navelle",2024,79.0,0,0,2024-09-14,San Jose St,0,196,965,11090,10,10.0,18,13,26,39,0,9.1,13.7,4,417,64,2.0,37.0,0.0,37.0,0,0,0.0,0,0,0,0,0,1,5
"Dean, Navelle",2024,72.0,0,1,2024-09-28,UT Martin,8,189,1082,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,2.0,18.0,0.0,11.0,0,0,3.0,1,0,0,0,0,0,6
"Diggs, Alexander",2023,79.0,0,0,2023-09-09,Chattanooga,6,182,1110,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,1.0,5.0,0.0,5.0,0,0,3.0,1,0,0,0,0,0,7
"Diggs, Alexander",2023,69.0,0,1,2023-09-16,Furman,7,204,1023,6993,80,40.0,17,10,17,31,1,9.9,18.1,2,490,63,1.0,31.0,0.0,31.0,0,0,3.0,1,0,0,0,0,0,5
"Diggs, Alexander",2023,81.0,0,0,2023-09-30,Charleston So,9,174,1083,3087,206,25.75,14,8,15,31,0,6.0,12.5,0,265,55,1.0,3.0,0.0,3.0,0,0,0.0,0,0,0,0,0,1,6
"Farrow,  Nykeem",2022,89.0,0,0,2022-09-01,Samford,0,184,360,5333,92,23.0,21,11,18,24,0,12.0,16.1,4,402,56,1.0,72.0,0.0,72.0,0,0,1.0,1,0,0,0,0,0,5
"Farrow, Nykeem",2021,79.0,0,0,2021-09-11,Georgia Tech,0,192,731,35195,17,17.0,20,12,17,23,0,11.0,14.9,4,412,59,2.0,22.0,0.0,22.0,0,0,0.0,0,0,0,0,0,1,4
"Farrow, Nykeem",2021,0.0,0,0,2021-10-23,Campbell,0,166,965,5977,117,39.0,12,5,13,23,2,4.5,8.0,0,188,46,2.0,58.0,1.0,52.0,0,0,0.0,0,0,0,0,0,1,5
"Farrow, Nykeem",2021,56.0,0,1,2021-10-30,Gardner-Webb,10,217,785,4041,208,34.67,19,7,12,14,0,14.9,17.4,4,417,60,0.0,0.0,0.0,0.0,0,0,3.0,1,0,0,0,0,0,4
"Farrow, Nykeem",2022,71.0,1,0,2022-09-10,Cincinnati,0,203,932,39015,10,10.0,24,15,20,23,0,12.7,14.7,3,525,53,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,5
"Farrow, Nykeem",2022,70.0,0,1,2022-10-22,Tennessee Tech,5,216,902,7906,116,29.0,29,10,15,24,0,9.3,14.9,1,493,81,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,5
"Farrow, Nykeem",2022,59.0,0,1,2022-10-29,Charleston So,10,195,783,3845,206,25.75,17,7,11,25,1,6.3,14.4,1,325,76,1.0,0.0,0.0,0.0,0,0,3.0,1,0,0,0,0,0,5
"Ficklin,  Kevin",2018,71.0,1,1,2018-10-06,Presbyterian,0,171,845,6414,190,38.0,34,6,7,10,0,15.2,21.7,2,637,75,1.0,55.0,1.0,55.0,0,0,0.0,0,1,0,0,0,0,3
"Finer, Connor",2022,59.0,0,1,2022-10-29,Charleston So,10,195,783,3845,206,25.75,17,7,11,25,1,6.3,14.4,1,325,76,0.0,0.0,0.0,0.0,0,0,3.0,1,0,0,0,0,0,6
"Finer, Connor",2022,63.0,0,1,2022-11-12,Austin Peay,11,230,782,5201,14,14.0,17,4,8,19,3,5.7,13.5,0,266,70,1.0,29.0,0.0,29.0,0,0,3.0,1,0,0,0,0,0,6
"Finer, Connor",2023,79.0,0,0,2023-09-09,Chattanooga,6,182,1110,8123,20,20.0,23,14,23,28,1,9.9,12.0,3,399,59,1.0,11.0,0.0,11.0,0,0,3.0,1,0,0,0,0,0,8
